ROI_Image_Label,Yeo_7_Network,Yeo_17_Network,Yeo_7_Network_Sensorimotor,Yeo_7_Network_Cognitive,Yeo_7_Network_PriCognitive,Yeo_17_Network_Sensorimotor,Yeo_17_Network_Cognitive,Yeo_17_Network_PriCognitive
1,3,5,NaN,3,3,NaN,5,5
2,6,13,NaN,6,6,NaN,13,13
3,2,4,2,NaN,NaN,4,NaN,NaN
4,6,13,NaN,6,6,NaN,13,13
5,1,2,1,NaN,NaN,2,NaN,NaN
6,2,3,2,NaN,NaN,3,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,2,4,2,NaN,NaN,4,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,5,10,NaN,5,NaN,NaN,10,NaN
11,4,7,NaN,4,NaN,NaN,7,NaN
12,1,2,1,NaN,NaN,2,NaN,NaN
13,2,4,2,NaN,NaN,4,NaN,NaN
14,6,8,NaN,6,6,NaN,8,NaN
15,3,5,NaN,3,3,NaN,5,5
16,3,5,NaN,3,3,NaN,5,5
17,4,7,NaN,4,NaN,NaN,7,NaN
18,4,7,NaN,4,NaN,NaN,7,NaN
19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,6,12,NaN,6,6,NaN,12,12
24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,7,17,NaN,7,7,NaN,17,17
27,2,3,2,NaN,NaN,3,NaN,NaN
28,7,16,NaN,7,7,NaN,16,16
29,3,12,NaN,3,3,NaN,12,12
30,4,8,NaN,4,NaN,NaN,8,NaN
31,5,9,NaN,5,NaN,NaN,9,NaN
33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,2,4,2,NaN,NaN,4,NaN,NaN
37,1,2,1,NaN,NaN,2,NaN,NaN
38,7,16,NaN,7,7,NaN,16,16
39,7,17,NaN,7,7,NaN,17,17
40,5,9,NaN,5,NaN,NaN,9,NaN
41,6,12,NaN,6,6,NaN,12,12
42,1,1,1,NaN,NaN,1,NaN,NaN
43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,2,3,2,NaN,NaN,3,NaN,NaN
45,6,13,NaN,6,6,NaN,13,13
46,7,16,NaN,7,7,NaN,16,16
47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,7,16,NaN,7,7,NaN,16,16
51,4,8,NaN,4,NaN,NaN,8,NaN
52,3,6,NaN,3,3,NaN,6,6
53,1,1,1,NaN,NaN,1,NaN,NaN
54,6,12,NaN,6,6,NaN,12,12
55,2,4,2,NaN,NaN,4,NaN,NaN
56,4,8,NaN,4,NaN,NaN,8,NaN
57,2,14,2,NaN,NaN,14,NaN,NaN
58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1,2,1,NaN,NaN,2,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,7,13,NaN,7,7,NaN,13,13
62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,6,12,NaN,6,6,NaN,12,12
65,4,7,NaN,4,NaN,NaN,7,NaN
66,5,15,NaN,5,NaN,NaN,15,15
67,6,8,NaN,6,6,NaN,8,NaN
68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1,15,1,NaN,NaN,NaN,15,15
70,1,11,1,NaN,NaN,NaN,11,11
71,2,3,2,NaN,NaN,3,NaN,NaN
72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,2,4,2,NaN,NaN,4,NaN,NaN
75,3,5,NaN,3,3,NaN,5,5
76,7,17,NaN,7,7,NaN,17,17
77,2,3,2,NaN,NaN,3,NaN,NaN
78,1,1,1,NaN,NaN,1,NaN,NaN
79,7,17,NaN,7,7,NaN,17,17
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,2,3,2,NaN,NaN,3,NaN,NaN
82,6,8,NaN,6,6,NaN,8,NaN
83,7,16,NaN,7,7,NaN,16,16
84,4,4,NaN,4,NaN,4,NaN,NaN
85,1,1,1,NaN,NaN,1,NaN,NaN
86,1,2,1,NaN,NaN,2,NaN,NaN
87,3,6,NaN,3,3,NaN,6,6
88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,3,12,NaN,3,3,NaN,12,12
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,6,8,NaN,6,6,NaN,8,NaN
92,3,6,NaN,3,3,NaN,6,6
